Fecha,cantidadISPNuevo,cantidadEUNuevo,total
2017-02,25600,256,25856
2017-03,107264,4608,111872
2017-04,123904,11776,135680
2017-05,136192,2304,138496
2017-06,111616,4352,115968
2017-07,126976,8704,135680
2017-08,157696,9984,167680
2017-09,108288,4096,112384
2017-10,144640,1280,145920
2017-11,110848,5376,116224
2017-12,104704,5888,110592
2018-01,80896,3328,84224
2018-02,82432,5120,87552
2018-03,116480,3584,120064
2018-04,126720,7936,134656
2018-05,95232,2560,97792
2018-06,86016,6400,92416
2018-07,88576,2560,91136
2018-08,115968,1024,116992
